2024-07-19 18:29:40,657 __main__ INFO ==> Config: {'BATCH_SIZE': 4, 'LAMBDA_1': 50, 'TRAIN': {'FREEZE_AUDIO_EXTRACTOR': True, 'PRETRAINED_VGGISH_MODEL_PATH': '../../pretrained_backbones/vggish-10086976.pth', 'PREPROCESS_AUDIO_TO_LOG_MEL': False, 'POSTPROCESS_LOG_MEL_WITH_PCA': False, 'PRETRAINED_PCA_PARAMS_PATH': '../../pretrained_backbones/vggish_pca_params-970ea276.pth', 'FREEZE_VISUAL_EXTRACTOR': False, 'PRETRAINED_RESNET50_PATH': '../../pretrained_backbones/resnet50-19c8e357.pth', 'PRETRAINED_PVTV2_PATH': '../../pretrained_backbones/pvt_v2_b5.pth'}, 'DATA': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_avsbench': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_synthesis_avsbench_random4': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}}
2024-07-19 18:29:40,657 __main__ INFO ==> Arguments: Namespace(session_name='S4_pvt', visual_backbone='pvt', train_batch_size=4, val_batch_size=1, max_epoches=15, lr=0.0001, num_workers=8, wt_dec=0.0005, sa_loss_flag=False, lambda_1=0, sa_loss_stages=[], mask_pooling_type='avg', tpavi_stages=[0, 1, 2, 3], tpavi_vv_flag=False, tpavi_va_flag=True, weights='', log_dir='./train_logs/S4_pvt_20240719-182940', checkpoint_dir='./train_logs/S4_pvt_20240719-182940/checkpoints')
2024-07-19 18:29:40,657 __main__ INFO ==> Experiment: S4_pvt
2024-07-19 18:29:48,491 __main__ INFO Iter:    0/12945, Total_Loss:0.7145, iou_loss:0.7145, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:30:18,094 __main__ INFO Iter:   50/12945, Total_Loss:0.3454, iou_loss:0.3454, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:30:49,042 __main__ INFO Iter:  100/12945, Total_Loss:0.2293, iou_loss:0.2293, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:31:20,244 __main__ INFO Iter:  150/12945, Total_Loss:0.1910, iou_loss:0.1910, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:31:51,885 __main__ INFO Iter:  200/12945, Total_Loss:0.1590, iou_loss:0.1590, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:32:23,587 __main__ INFO Iter:  250/12945, Total_Loss:0.1776, iou_loss:0.1776, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:32:54,684 __main__ INFO Iter:  300/12945, Total_Loss:0.1489, iou_loss:0.1489, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:33:25,686 __main__ INFO Iter:  350/12945, Total_Loss:0.1760, iou_loss:0.1760, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:33:57,068 __main__ INFO Iter:  400/12945, Total_Loss:0.1596, iou_loss:0.1596, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:34:28,443 __main__ INFO Iter:  450/12945, Total_Loss:0.1647, iou_loss:0.1647, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:34:59,893 __main__ INFO Iter:  500/12945, Total_Loss:0.1509, iou_loss:0.1509, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:35:31,138 __main__ INFO Iter:  550/12945, Total_Loss:0.1825, iou_loss:0.1825, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:36:03,094 __main__ INFO Iter:  600/12945, Total_Loss:0.1272, iou_loss:0.1272, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:36:34,157 __main__ INFO Iter:  650/12945, Total_Loss:0.1514, iou_loss:0.1514, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:37:05,968 __main__ INFO Iter:  700/12945, Total_Loss:0.1121, iou_loss:0.1121, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:37:37,300 __main__ INFO Iter:  750/12945, Total_Loss:0.1404, iou_loss:0.1404, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:38:08,267 __main__ INFO Iter:  800/12945, Total_Loss:0.1460, iou_loss:0.1460, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 18:38:39,682 __main__ INFO Iter:  850/12945, Total_Loss:0.1307, iou_loss:0.1307, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
