2024-07-19 19:16:31,829 __main__ INFO ==> Config: {'BATCH_SIZE': 4, 'LAMBDA_1': 50, 'TRAIN': {'FREEZE_AUDIO_EXTRACTOR': True, 'PRETRAINED_VGGISH_MODEL_PATH': '../../pretrained_backbones/vggish-10086976.pth', 'PREPROCESS_AUDIO_TO_LOG_MEL': False, 'POSTPROCESS_LOG_MEL_WITH_PCA': False, 'PRETRAINED_PCA_PARAMS_PATH': '../../pretrained_backbones/vggish_pca_params-970ea276.pth', 'FREEZE_VISUAL_EXTRACTOR': False, 'PRETRAINED_RESNET50_PATH': '../../pretrained_backbones/resnet50-19c8e357.pth', 'PRETRAINED_PVTV2_PATH': '../../pretrained_backbones/pvt_v2_b5.pth'}, 'DATA': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_avsbench': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_synthesis_avsbench_random4': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}}
2024-07-19 19:16:31,829 __main__ INFO ==> Arguments: Namespace(session_name='S4_pvt', visual_backbone='pvt', train_batch_size=4, val_batch_size=1, max_epoches=15, lr=0.0001, num_workers=8, wt_dec=0.0005, sa_loss_flag=False, lambda_1=0, sa_loss_stages=[], mask_pooling_type='avg', tpavi_stages=[0, 1, 2, 3], tpavi_vv_flag=False, tpavi_va_flag=True, weights='', log_dir='./train_logs/S4_pvt_20240719-191631', checkpoint_dir='./train_logs/S4_pvt_20240719-191631/checkpoints')
2024-07-19 19:16:31,829 __main__ INFO ==> Experiment: S4_pvt
2024-07-19 19:16:41,556 __main__ INFO Iter:    0/12945, Total_Loss:0.7145, iou_loss:0.7145, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:17:11,303 __main__ INFO Iter:   50/12945, Total_Loss:0.3458, iou_loss:0.3458, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:17:41,965 __main__ INFO Iter:  100/12945, Total_Loss:0.2269, iou_loss:0.2269, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:18:12,965 __main__ INFO Iter:  150/12945, Total_Loss:0.1845, iou_loss:0.1845, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:18:43,991 __main__ INFO Iter:  200/12945, Total_Loss:0.1694, iou_loss:0.1694, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:19:15,661 __main__ INFO Iter:  250/12945, Total_Loss:0.1728, iou_loss:0.1728, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:19:47,255 __main__ INFO Iter:  300/12945, Total_Loss:0.1457, iou_loss:0.1457, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:20:18,637 __main__ INFO Iter:  350/12945, Total_Loss:0.1609, iou_loss:0.1609, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:20:50,231 __main__ INFO Iter:  400/12945, Total_Loss:0.1397, iou_loss:0.1397, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:21:21,798 __main__ INFO Iter:  450/12945, Total_Loss:0.1635, iou_loss:0.1635, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:21:52,985 __main__ INFO Iter:  500/12945, Total_Loss:0.1607, iou_loss:0.1607, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:22:23,957 __main__ INFO Iter:  550/12945, Total_Loss:0.1449, iou_loss:0.1449, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:22:55,338 __main__ INFO Iter:  600/12945, Total_Loss:0.1235, iou_loss:0.1235, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:23:26,382 __main__ INFO Iter:  650/12945, Total_Loss:0.1385, iou_loss:0.1385, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:23:57,641 __main__ INFO Iter:  700/12945, Total_Loss:0.1091, iou_loss:0.1091, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:24:28,626 __main__ INFO Iter:  750/12945, Total_Loss:0.1340, iou_loss:0.1340, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:24:59,819 __main__ INFO Iter:  800/12945, Total_Loss:0.1375, iou_loss:0.1375, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:25:31,282 __main__ INFO Iter:  850/12945, Total_Loss:0.1346, iou_loss:0.1346, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:26:36,291 __main__ INFO save best model to ./train_logs/S4_pvt_20240719-191631/checkpoints/S4_pvt_best.pth
2024-07-19 19:26:36,292 __main__ INFO Epoch: 0, Miou: 0.6661471724510193, maxMiou: 0.6661471724510193
2024-07-19 19:27:01,826 __main__ INFO Iter:  900/12945, Total_Loss:0.1045, iou_loss:0.1045, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:27:33,370 __main__ INFO Iter:  950/12945, Total_Loss:0.1047, iou_loss:0.1047, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:28:04,673 __main__ INFO Iter: 1000/12945, Total_Loss:0.0926, iou_loss:0.0926, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:28:35,785 __main__ INFO Iter: 1050/12945, Total_Loss:0.0861, iou_loss:0.0861, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:29:07,057 __main__ INFO Iter: 1100/12945, Total_Loss:0.0775, iou_loss:0.0775, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:29:38,147 __main__ INFO Iter: 1150/12945, Total_Loss:0.0806, iou_loss:0.0806, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:30:09,135 __main__ INFO Iter: 1200/12945, Total_Loss:0.0775, iou_loss:0.0775, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:30:40,110 __main__ INFO Iter: 1250/12945, Total_Loss:0.1025, iou_loss:0.1025, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:31:11,057 __main__ INFO Iter: 1300/12945, Total_Loss:0.1000, iou_loss:0.1000, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:31:42,025 __main__ INFO Iter: 1350/12945, Total_Loss:0.1093, iou_loss:0.1093, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:32:13,254 __main__ INFO Iter: 1400/12945, Total_Loss:0.0901, iou_loss:0.0901, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-19 19:32:44,591 __main__ INFO Iter: 1450/12945, Total_Loss:0.0854, iou_loss:0.0854, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
