2024-07-23 14:15:29,952 __main__ INFO ==> Config: {'BATCH_SIZE': 4, 'LAMBDA_1': 50, 'TRAIN': {'FREEZE_AUDIO_EXTRACTOR': True, 'PRETRAINED_VGGISH_MODEL_PATH': '../../pretrained_backbones/vggish-10086976.pth', 'PREPROCESS_AUDIO_TO_LOG_MEL': False, 'POSTPROCESS_LOG_MEL_WITH_PCA': False, 'PRETRAINED_PCA_PARAMS_PATH': '../../pretrained_backbones/vggish_pca_params-970ea276.pth', 'FREEZE_VISUAL_EXTRACTOR': False, 'PRETRAINED_RESNET50_PATH': '../../pretrained_backbones/resnet50-19c8e357.pth', 'PRETRAINED_PVTV2_PATH': '../../pretrained_backbones/pvt_v2_b5.pth'}, 'DATA': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_avsbench': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_data/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_data/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}, 'DATA_synthesis_avsbench_random4': {'ANNO_CSV': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_meta_data.csv', 'DIR_IMG': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/visual_frames', 'DIR_AUDIO_LOG_MEL': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/audio_log_mel', 'DIR_MASK': '/mnt/data1/jiali/avsbench_synthesis_visual_random4/Single-source/s4_data/gt_masks', 'IMG_SIZE': (224, 224)}}
2024-07-23 14:15:29,952 __main__ INFO ==> Arguments: Namespace(session_name='S4_pvt', visual_backbone='pvt', train_batch_size=4, val_batch_size=1, max_epoches=15, lr=0.0001, num_workers=8, wt_dec=0.0005, sa_loss_flag=False, lambda_1=0, sa_loss_stages=[], mask_pooling_type='avg', tpavi_stages=[0, 1, 2, 3], tpavi_vv_flag=False, tpavi_va_flag=True, weights='', log_dir='./train_logs/S4_pvt_20240723-141529', easy_ratio=0.5, checkpoint_dir='./train_logs/S4_pvt_20240723-141529/checkpoints')
2024-07-23 14:15:29,952 __main__ INFO ==> Experiment: S4_pvt
2024-07-23 14:15:37,161 __main__ INFO Iter:    0/12945, Total_Loss:0.7292, iou_loss:0.7292, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:16:07,734 __main__ INFO Iter:   50/12945, Total_Loss:0.3103, iou_loss:0.3103, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:16:39,156 __main__ INFO Iter:  100/12945, Total_Loss:0.2532, iou_loss:0.2532, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:17:10,264 __main__ INFO Iter:  150/12945, Total_Loss:0.2344, iou_loss:0.2344, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:17:41,043 __main__ INFO Iter:  200/12945, Total_Loss:0.2192, iou_loss:0.2192, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:18:11,949 __main__ INFO Iter:  250/12945, Total_Loss:0.2116, iou_loss:0.2116, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:18:42,885 __main__ INFO Iter:  300/12945, Total_Loss:0.2189, iou_loss:0.2189, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:19:13,577 __main__ INFO Iter:  350/12945, Total_Loss:0.2031, iou_loss:0.2031, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:19:44,382 __main__ INFO Iter:  400/12945, Total_Loss:0.2018, iou_loss:0.2018, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:20:15,191 __main__ INFO Iter:  450/12945, Total_Loss:0.2040, iou_loss:0.2040, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:20:46,166 __main__ INFO Iter:  500/12945, Total_Loss:0.1961, iou_loss:0.1961, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:21:16,928 __main__ INFO Iter:  550/12945, Total_Loss:0.2071, iou_loss:0.2071, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:21:47,814 __main__ INFO Iter:  600/12945, Total_Loss:0.1839, iou_loss:0.1839, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:22:18,700 __main__ INFO Iter:  650/12945, Total_Loss:0.1939, iou_loss:0.1939, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:22:50,034 __main__ INFO Iter:  700/12945, Total_Loss:0.1841, iou_loss:0.1841, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:23:20,771 __main__ INFO Iter:  750/12945, Total_Loss:0.1887, iou_loss:0.1887, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:23:51,412 __main__ INFO Iter:  800/12945, Total_Loss:0.1932, iou_loss:0.1932, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
2024-07-23 14:24:22,707 __main__ INFO Iter:  850/12945, Total_Loss:0.1776, iou_loss:0.1776, sa_loss:0.0000, lambda_1:0.0000, lr: 0.0001
